Precinct,RapeComplaints,MurderComplaints
1,2,0
5,6,1
6,5,0
7,1,3
9,3,0
10,7,0
13,3,0
14,4,1
17,1,0
18,3,2
19,6,0
20,4,0
22,0,0
23,10,1
24,8,1
25,2,2
26,1,0
28,7,0
30,1,0
32,8,2
33,2,2
34,2,3
40,13,3
41,9,1
42,9,1
43,24,2
44,20,1
45,7,0
46,9,2
47,19,2
48,17,0
49,9,0
50,7,0
52,15,0
60,6,1
61,4,0
62,11,2
63,10,0
66,5,0
67,10,1
68,10,1
69,9,1
70,14,0
71,10,0
72,15,0
73,15,3
75,28,1
76,1,1
77,10,0
78,3,1
79,7,1
81,4,2
83,12,0
84,2,0
88,3,0
90,7,1
94,4,0
100,5,0
101,6,0
102,9,0
103,11,0
104,6,0
105,21,3
106,7,0
107,9,2
108,7,1
109,9,1
110,26,0
111,4,0
112,4,0
113,14,2
114,15,2
115,18,2
120,14,0
121,13,0
122,3,2
123,1,0